,lat,lon,h_li,x_atc,q_flag
0,35.38769366420949,77.09059889982626,4406.602,3937066.445468031,1.0
2,35.5754851843004,77.06857294336078,6649.432,3957996.6437453064,1.0
4,35.58699906097462,77.06724626801241,6812.722,3959279.7154085417,1.0
5,35.55754193680736,77.16474580793408,5627.036,16114840.62963839,0.0
6,35.55736213878646,77.16472356671648,5636.8315,16114860.678368218,0.0
7,35.557182327018296,77.16470148068214,5645.2183,16114880.7270982,0.0
8,35.5570025781579,77.1646786058111,5657.01,16114900.775828337,0.0
9,35.55682285065722,77.16465548330194,5669.1704,16114920.824558629,0.0
10,35.55664313898337,77.16463214724047,5680.097,16114940.873289075,0.0
11,35.55646346385334,77.16460834395139,5691.878,16114960.922019677,0.0
12,35.55628377667659,77.16458469173091,5702.345,16114980.970750434,0.0
13,35.55610406377687,77.16456138253966,5710.765,16115001.019481346,0.0
14,35.5559243896013,77.16453757590739,5722.041,16115021.068212412,0.0
15,35.555744726798544,77.16451361683625,5734.476,16115041.116943635,0.0
16,35.555565007134625,77.16449038731957,5742.5625,16115061.16567501,0.0
17,35.55538523939056,77.1644677538581,5749.785,16115081.214406542,0.0
18,35.5552054468021,77.16444543806489,5756.546,16115101.263138229,0.0
19,35.5550256285293,77.16442344133424,5761.795,16115121.31187007,0.0
20,35.55484583122945,77.16440117865392,5769.2007,16115141.360602066,0.0
21,35.55466601825903,77.16437912694266,5775.064,16115161.409334216,0.0
22,35.55448622009699,77.16435688569476,5781.535,16115181.458066521,0.0
23,35.554306429338155,77.16433454355439,5788.335,16115201.50679898,0.0
24,35.554126650553464,77.16431204955478,5795.0293,16115221.555531597,0.0
25,35.55394691238825,77.16428905342212,5803.7227,16115241.604264367,0.0
26,35.55376717948315,77.16426598537953,5811.8364,16115261.652997293,0.0
27,35.55358742439451,77.16424318606897,5819.096,16115281.701730372,0.0
28,35.55340770964557,77.16421988865432,5826.3096,16115301.750463607,0.0
29,35.55322795856571,77.16419704673342,5832.1523,16115321.799196998,0.0
30,35.55304819683838,77.16417432822846,5837.707,16115341.847930541,0.0
31,35.552868436792785,77.1641516088439,5843.394,16115361.89666424,0.0
32,35.55268858418005,77.16413004410038,5843.3887,16115381.945398094,0.0
33,35.55250873478518,77.16410844491077,5843.577,16115401.994132103,0.0
34,35.55232900669995,77.1640853211859,5852.5693,16115422.042866267,1.0
35,35.55214921900226,77.1640629396149,5859.762,16115442.091600588,0.0
36,35.551969334896725,77.16404178804214,5858.8594,16115462.14033506,0.0
37,35.55178956566998,77.16401917168281,5866.062,16115482.18906969,1.0
39,35.55143105422826,77.1639609947182,5955.02,16115522.286539413,0.0
40,35.551251239039054,77.16393895279589,5962.4097,16115542.335274506,0.0
41,35.55107148228309,77.16391619049892,5971.984,16115562.384009754,0.0
42,35.55089172250519,77.16389348397058,5981.343,16115582.432745159,0.0
43,35.550711944205254,77.16387097098391,5988.141,16115602.481480716,0.0
44,35.55053215243167,77.16384863186613,5992.141,16115622.53021643,0.0
45,35.550352385881475,77.16382599258407,5996.138,16115642.578952298,0.0
46,35.55017266848448,77.16380272309118,6001.6245,16115662.62768832,0.0
47,35.54999297929708,77.16377911133327,6008.0625,16115682.676424498,0.0
48,35.54981331712069,77.16375515018865,6015.4453,16115702.72516083,0.0
49,35.54963367532744,77.16373093420651,6025.2153,16115722.773897318,0.0
50,35.54945413452514,77.1637054454772,6042.2544,16115742.82263396,1.0
51,35.54927467106087,77.16367895870042,6064.6064,16115762.871370757,1.0
52,35.54909514646319,77.16365328040314,6086.8706,16115782.92010771,1.0
53,35.548915524214465,77.16362881485816,6103.236,16115802.968844816,0.0
54,35.54873578704697,77.16360578843137,6113.6494,16115823.017582078,0.0
55,35.54855609749824,77.16358216674354,6129.1,16115843.066319494,1.0
56,35.54837643432302,77.16355824056052,6144.3413,16115863.115057064,1.0
57,35.548196696728176,77.16353521939732,6156.1997,16115883.16379479,0.0
58,35.54801703155589,77.16351129085723,6174.413,16115903.212532671,1.0
59,35.54783742700241,77.16348659703749,6194.7183,16115923.261270707,0.0
60,35.54765773809869,77.1634629936434,6208.6074,16115943.310008898,0.0
61,35.547478062105384,77.163439197674,6222.595,16115963.358747244,0.0
62,35.547298407371,77.16341514984634,6237.6074,16115983.407485744,0.0
63,35.54711870278018,77.16339170876643,6250.1313,16116003.4562244,0.0
64,35.54693902055427,77.163367988402,6263.8364,16116023.504963212,0.0
65,35.546759324397485,77.16334445501735,6275.651,16116043.553702177,0.0
66,35.546579613005534,77.16332112005438,6287.266,16116063.602441296,0.0
67,35.546399885496264,77.16329798713372,6297.8154,16116083.651180571,0.0
68,35.546220161234054,77.16327481097198,6309.098,16116103.69992,0.0
69,35.54604045411562,77.16325140588299,6321.984,16116123.748659585,0.0
70,35.545860762442096,77.16322781705594,6335.255,16116143.797399323,0.0
71,35.54568108500267,77.16320405026624,6349.2173,16116163.846139217,0.0
72,35.54550141254841,77.1631802122941,6363.88,16116183.894879267,0.0
73,35.54532173903448,77.1631564020376,6377.731,16116203.943619471,0.0
74,35.54514206339214,77.1631325976328,6391.0723,16116223.99235983,0.0
75,35.544962409961755,77.16310852324705,6405.548,16116244.041100344,0.0
76,35.54478276229511,77.16308439471652,6420.0547,16116264.089841012,0.0
77,35.54460313026549,77.16306005174181,6434.5654,16116284.138581835,0.0
78,35.54442355439668,77.16303500192441,6452.459,16116304.187322812,0.0
79,35.54424399128452,77.16300978693289,6470.996,16116324.236063946,1.0
80,35.54406445482033,77.16298423503895,6490.7163,16116344.284805233,1.0
83,35.543526510537426,77.16289923728647,6592.0527,16116404.431030026,0.0
84,35.54334695685359,77.16287389930295,6609.309,16116424.479771933,0.0
85,35.54316740728223,77.16284850640454,6628.189,16116444.528513994,0.0
86,35.542987825228295,77.16282353245526,6645.613,16116464.57725621,0.0
87,35.542808203461384,77.16279907396063,6660.6753,16116484.62599858,0.0
88,35.54262860473556,77.16277429775613,6678.498,16116504.674741108,1.0
89,35.542449041915454,77.16274910015818,6699.6475,16116524.723483788,0.0
90,35.54226947446381,77.1627239451633,6719.906,16116544.772226624,0.0
91,35.54208991580802,77.16269866763633,6743.5586,16116564.820969615,0.0
92,35.541910337635976,77.1626736561916,6765.2744,16116584.86971276,0.0
93,35.54173075635825,77.16264868017015,6787.6426,16116604.91845606,0.0
94,35.54155120516838,77.1626233135508,6811.3496,16116624.967199516,1.0
