,lat,lon,h_li,x_atc,q_flag
2,35.37809841207138,76.9019363852683,5619.541,3935387.7292972845,1.0
5,35.37935733385624,76.90178699318318,5657.812,3935528.0666055693,1.0
6,35.37953716057557,76.90176540183364,5663.2134,3935548.114791839,1.0
9,35.382953337209926,76.90134850559468,5783.375,3935929.0303011374,1.0
10,35.38313319778078,76.90132736209591,5789.629,3935949.0784842684,0.0
12,35.38421240413904,76.90120099472665,5823.624,3936069.367579751,1.0
13,35.38439221098895,76.90117917415483,5829.0938,3936089.415761782,0.0
14,35.38457200834969,76.90115718063635,5832.06,3936109.463943656,0.0
16,35.385470915684294,76.90104640278639,5848.463,3936209.7048506704,0.0
17,35.38565072094187,76.90102451748078,5852.504,3936229.753031602,0.0
20,35.386909580036054,76.90087433612092,5891.01,3936370.0902937283,0.0
21,35.387089451622565,76.90085332505066,5894.4556,3936390.1384734036,0.0
24,35.388168559288104,76.90072568757978,5907.2744,3936510.427548161,0.0
25,35.38834836683372,76.90070385871297,5908.564,3936530.4757267367,0.0
28,35.38942725079943,76.90057338068289,5906.8203,3936650.7647948987,0.0
29,35.389607114341885,76.90055226630244,5904.099,3936670.8129723757,0.0
30,35.39014679814455,76.90049010211158,5889.7935,3936730.9575038645,0.0
33,35.390867158126426,76.90041715466612,5761.3403,3936811.150210319,1.0
34,35.39104719423396,76.90039823536756,5736.7495,3936831.1983865392,1.0
36,35.39194715818891,76.90030087058267,5646.826,3936931.439265289,1.0
37,35.392127113706316,76.90028092663806,5635.3823,3936951.4874405675,1.0
38,35.39230706058433,76.90026087423871,5625.1333,3936971.535615689,1.0
39,35.392487001301596,76.90024073481425,5615.277,3936991.5837906534,1.0
40,35.392666930447966,76.90022045476837,5606.029,3937011.6319654607,1.0
41,35.39284683609008,76.9001998734426,5599.151,3937031.680140111,1.0
42,35.393026758225524,76.9001795089165,5587.741,3937051.728314605,1.0
43,35.39320658091679,76.90015786724916,5590.4375,3937071.776488941,0.0
44,35.393386419346044,76.90013643098291,5587.427,3937091.824663121,0.0
45,35.393566251599566,76.9001149225628,5584.235,3937111.8728371426,1.0
46,35.393746081481424,76.90009338042415,5580.813,3937131.921011008,1.0
47,35.39410574436765,76.90005033071941,5573.8975,3937172.0173582667,0.0
48,35.39428558108197,76.90002887663405,5571.068,3937192.06553166,0.0
49,35.39446541859994,76.90000742444124,5568.498,3937212.1137048965,0.0
50,35.394645264137225,76.89998609081482,5567.3657,3937232.1618779763,0.0
51,35.39482511887775,76.89996485829516,5566.532,3937252.2100509,0.0
52,35.395004980329716,76.89994371430191,5565.8345,3937272.2582236645,0.0
54,35.39572447658234,76.89985978468712,5563.749,3937352.4509131564,0.0
55,35.39590435821153,76.89983890804962,5563.229,3937372.499085137,0.0
56,35.39608423839519,76.89981800344617,5562.8545,3937392.5472569596,0.0
57,35.39626411239891,76.89979702121167,5562.474,3937412.595428626,0.0
58,35.39644398190611,76.89977597561546,5562.0117,3937432.643600135,0.0
61,35.396983538391225,76.89971221330705,5560.3306,3937492.7881137193,0.0
62,35.397163360397634,76.89969056553639,5559.7456,3937512.8362846,0.0
63,35.397343174404234,76.89966881869492,5559.1704,3937532.8844553237,0.0
65,35.39824234894246,76.89956144673818,5556.985,3937633.125306586,0.0
66,35.39842225039142,76.89954079480117,5556.1147,3937653.1734763663,0.0
67,35.39860216909189,76.89952037935166,5555.5093,3937673.221645991,0.0
70,35.399681553976336,76.89939628596153,5551.3022,3937793.510660436,0.0
71,35.399861360911245,76.89937445116271,5550.763,3937813.5588289606,0.0
74,35.400940058760966,76.89924162419254,5547.035,3937933.8478368074,0.0
75,35.40111987629438,76.89921992645554,5546.65,3937953.896004232,0.0
78,35.402198939229415,76.8990917333665,5546.758,3938074.1850054814,0.0
79,35.402378779840234,76.89907033404972,5547.194,3938094.233171806,0.0
82,35.4034579355935,76.89894332619394,5549.7827,3938214.5221664566,0.0
83,35.40363783546431,76.89892267700793,5549.972,3938234.5703316815,0.0
86,35.40471714322553,76.8987976054994,5545.8394,3938354.859319732,0.0
87,35.404896962677384,76.89877593561874,5544.3643,3938374.9074838576,0.0
88,35.40507677243603,76.8987541429475,5542.708,3938394.9556478257,0.0
90,35.40597590803991,76.89864625206644,5528.854,3938495.19646531,0.0
91,35.406155795915254,76.8986254571467,5525.2944,3938515.244628335,0.0
92,35.406335700933305,76.89860487230067,5522.0317,3938535.2927912036,0.0
94,35.407235295713676,76.89850283002357,5510.8115,3938635.533603187,0.0
95,35.40741519715183,76.89848220237047,5509.3506,3938655.5817651125,0.0
96,35.4075950875902,76.89846143226981,5508.139,3938675.629926881,0.0
102,35.40975311940714,76.89820389466331,5498.3994,3938916.207855843,0.0
103,35.409932995477185,76.89818293021239,5495.4146,3938936.256015568,0.0
104,35.41011288341511,76.89816212674702,5492.16,3938956.3041751357,0.0
106,35.41101246183893,76.89805989441567,5467.682,3939056.544970619,0.0
107,35.41119236575789,76.89803929294885,5464.31,3939076.5931292446,0.0
108,35.41137225921448,76.89801856121642,5461.6035,3939096.641287713,0.0
109,35.41155214321133,76.89799770944074,5459.443,3939116.689446024,0.0
112,35.41245144062023,76.89789189114089,5452.512,3939216.930235221,0.0
113,35.41263127875,76.89787045830002,5451.4814,3939236.9783925884,0.0
114,35.41281111363265,76.89784898271029,5450.427,3939257.026549799,0.0
115,35.41299094837448,76.89782748748769,5449.36,3939277.074706853,0.0
119,35.41371029936756,76.89774174760328,5443.468,3939357.267333496,0.0
120,35.41389014967099,76.89772047031914,5441.637,3939377.315489763,0.0
121,35.41407000333132,76.89769923581514,5439.7876,3939397.363645874,0.0
122,35.41424985982022,76.8976780391215,5437.7466,3939417.411801827,0.0
126,35.414969303109146,76.89759345253026,5429.1665,3939497.6044240696,0.0
127,35.415149158328965,76.89757223938358,5427.197,3939517.6525792363,0.0
128,35.41532901481401,76.89755103625998,5425.4004,3939537.7007342475,0.0
129,35.41550887327155,76.8975298663151,5423.7285,3939557.7488891003,0.0
133,35.41622835710915,76.89744579331983,5418.1187,3939637.941506941,0.0
134,35.41640824918993,76.89742505038839,5416.9385,3939657.9896610077,0.0
135,35.41658814285416,76.89740432305916,5415.9043,3939678.037814918,0.0
136,35.4167680329108,76.89738355368377,5415.0884,3939698.0859686704,0.0
139,35.41748751724555,76.89729948968602,5412.6216,3939778.2785821105,0.0
140,35.41766734788933,76.89727796575772,5412.298,3939798.326735077,0.0
141,35.41784717147936,76.89725634651819,5412.027,3939818.374887886,0.0
143,35.41874633531372,76.89714883438774,5411.2803,3939918.615649576,0.0
144,35.41892621279723,76.89712790582075,5411.124,3939938.663801443,0.0
145,35.419106100571376,76.89710710271964,5410.996,3939958.7119531515,0.0
147,35.42000551750446,76.89700281878999,5410.192,3940058.9527093396,0.0
148,35.4201853550596,76.89698138206609,5410.0884,3940079.0008601057,0.0
149,35.42036518456387,76.89695983709896,5409.941,3940099.0490107145,0.0
151,35.42126435212065,76.8968523811626,5409.059,3940199.2897614,0.0
152,35.42144422828077,76.89683143351135,5408.834,3940219.337911065,0.0
153,35.42162411528631,76.8968106235044,5408.664,3940239.3860605736,0.0
155,35.422523504503516,76.89670598687621,5407.841,3940339.6268057576,0.0
156,35.42270333236256,76.89668442257164,5407.623,3940359.6749543226,0.0
157,35.42288314530175,76.89666267086619,5407.3853,3940379.7231027302,0.0
159,35.42378221327428,76.89655396385058,5405.979,3940479.9638424106,0.0
160,35.42396207339718,76.89653280133211,5405.34,3940500.011989875,0.0
161,35.424141947027586,76.89651182040944,5404.7583,3940520.0601371825,0.0
163,35.425041395333565,76.89640796782794,5401.885,3940620.3008713597,0.0
164,35.425221278736366,76.89638708250015,5400.838,3940640.3490177225,0.0
165,35.42540115325235,76.8963661142119,5399.7183,3940660.3971639294,0.0
166,35.425581018835395,76.89634503235334,5398.7437,3940680.4453099784,0.0
169,35.426480269804756,76.8962386424268,5393.7295,3940780.686037867,0.0
170,35.426660113838864,76.8962172865281,5392.6157,3940800.7341829725,0.0
171,35.426839960742,76.89619596280778,5391.5366,3940820.782327921,0.0
174,35.42773929242796,76.8960906018541,5385.856,3940921.0230503054,0.0
175,35.42791918693038,76.89606988709068,5384.5874,3940941.0711943097,0.0
176,35.42809909112461,76.89604929839822,5382.8467,3940961.119338158,0.0
179,35.42899864788115,76.89594679874091,5375.427,3941061.360055039,0.0
180,35.42917855290918,76.89592621923083,5374.52,3941081.408197943,0.0
181,35.42935845272733,76.89590557726882,5373.3374,3941101.45634069,0.0
183,35.43151659646627,76.89564950283608,5354.3135,3941342.0340413884,0.0
184,35.43169648434593,76.89562870729213,5352.796,3941362.082182091,0.0
185,35.43187638250737,76.89560803984875,5351.298,3941382.1303226366,0.0
186,35.43205628256695,76.89558740286566,5349.719,3941402.178463024,0.0
188,35.43277580426421,76.89550382812138,5343.5444,3941482.3710230035,0.0
189,35.432955626032374,76.89548219617319,5342.1934,3941502.419162605,0.0
190,35.43313543500912,76.89546039646734,5340.7593,3941522.467302049,0.0
192,35.434034533559256,76.89535207248389,5334.243,3941622.707996912,0.0
193,35.434214416825846,76.89533121830243,5332.9404,3941642.7561354116,0.0
194,35.43439431648821,76.89531056910761,5331.692,3941662.8042737553,0.0
196,35.43529386269368,76.89520794243634,5325.9077,3941763.044963113,0.0
197,35.43547373891808,76.895187000171,5324.607,3941783.0931005124,0.0
198,35.43565360254618,76.89516589551152,5323.272,3941803.141237755,0.0
200,35.43655280393755,76.89505889459258,5315.8,3941903.3819216066,0.0
201,35.43673263781096,76.8950374058856,5314.1,3941923.4300579056,0.0
202,35.43691247375932,76.89501594985825,5312.595,3941943.478194047,0.0
204,35.43781176843682,76.89491013645738,5304.33,3942043.7188723935,0.0
205,35.43799166263577,76.89488941345223,5302.693,3942063.767007591,0.0
206,35.43817156377994,76.89486878413823,5301.044,3942083.8151426315,0.0
209,35.43925093669928,76.89474459370257,5291.127,3942204.1039495696,0.0
210,35.43943080045829,76.89472349013266,5289.6143,3942224.152083508,0.0
217,35.44176902488862,76.89444910396685,5271.3286,3942484.777810398,0.0
218,35.44194893689429,76.89442861601503,5270.338,3942504.8259421345,0.0
221,35.443028369770744,76.89430518930646,5265.391,3942625.1147292494,0.0
222,35.44320823715244,76.89428413452447,5264.6313,3942645.1628598846,0.0
224,35.44428736623377,76.89415684352241,5260.441,3942765.451640391,0.0
225,35.444467239320545,76.89413586645281,5259.783,3942785.4997699247,0.0
231,35.4468052040795,76.89385818462097,5248.8027,3943046.125439544,0.0
232,35.446985142379894,76.89383803798944,5247.9077,3943066.173566875,0.0
233,35.44716509721311,76.89381809674086,5246.986,3943086.221694049,0.0
235,35.448064697525574,76.8937161674263,5242.9087,3943186.462327555,0.0
236,35.44824449062233,76.89369417535806,5242.1636,3943206.510453784,0.0
237,35.4484242527694,76.89367178382412,5241.5005,3943226.5585798556,0.0
239,35.449323095602665,76.89356022122962,5238.386,3943326.7992078555,0.0
240,35.449502973957316,76.89353931045218,5237.8984,3943346.8473329837,0.0
241,35.44968288544676,76.89351881679784,5237.329,3943366.8954579537,0.0
247,35.45184129479211,76.89326620326494,5233.148,3943607.4729453237,0.0
248,35.452021146158245,76.89324492127122,5233.373,3943627.5210682494,0.0
249,35.45220101067597,76.89322383375884,5233.619,3943647.5691910153,0.0
250,35.45238088237185,76.89320284200664,5233.8955,3943667.6173136258,0.0
253,35.453280233516736,76.89309775089424,5235.771,3943767.857924313,0.0
254,35.453460071838514,76.89307632783698,5236.0073,3943787.9060459784,0.0
257,35.45453916890368,76.89294864222654,5234.547,3943908.1947726645,0.0
258,35.45471905800404,76.89292786736615,5234.6646,3943928.2428932292,0.0
261,35.45579839636134,76.8928032550653,5236.4043,3944048.5316133047,0.0
262,35.45597825088176,76.89278204359806,5236.4565,3944068.579732767,0.0
265,35.457057306127524,76.89265382674205,5237.3887,3944188.868446231,0.0
266,35.45723716877888,76.8926327191399,5236.3037,3944208.9165645908,0.0
268,35.45831638847761,76.89250659533991,5232.4424,3944329.2052714447,0.0
269,35.45849625289295,76.89248551105129,5232.4683,3944349.253388703,0.0
270,35.458676112850576,76.89246436797458,5232.689,3944369.3015058036,0.0
272,35.459575313742285,76.89235737046215,5234.102,3944469.5420889454,0.0
273,35.45975513063513,76.89233567710369,5234.1978,3944489.5902051018,0.0
274,35.45993494204805,76.89231391300382,5234.75,3944509.6383211,0.0
276,35.460834097783994,76.8922063431545,5234.605,3944609.8788987314,0.0
277,35.461013964860214,76.89218529513488,5234.723,3944629.927013786,0.0
278,35.461193844511776,76.89216439863003,5234.929,3944649.975128682,0.0
280,35.46335255496798,76.8919156288124,5234.055,3944890.55249516,0.0
281,35.46353240643242,76.89189437471697,5233.8794,3944910.6006080103,0.0
282,35.46371224596943,76.89187296845671,5234.4688,3944930.6487207026,0.0
284,35.464611430705325,76.89176578472222,5236.5225,3945030.8892818033,0.0
285,35.46479128000117,76.89174449387724,5237.3145,3945050.9373935503,0.0
286,35.46497113418259,76.8917232772128,5238.0796,3945070.985505141,0.0
289,35.466050308833175,76.8915965961051,5242.7173,3945191.2741713747,0.0
290,35.46623016751534,76.89157543592847,5243.547,3945211.322281863,0.0
293,35.46856840831603,76.89130133689173,5245.495,3945471.9477038784,0.0
294,35.46874831867118,76.8912808342443,5240.402,3945491.9958121623,0.0
297,35.469826906621634,76.89114668547757,5345.813,3945612.2844585553,0.0
298,35.47000671340305,76.8911248675281,5354.71,3945632.332565737,0.0
301,35.47108560805109,76.89099462863874,5408.0483,3945752.6212055157,1.0
302,35.471265439275186,76.89097312159095,5417.8643,3945772.6693115947,1.0
304,35.473602932240304,76.89068951082601,5517.8096,3946033.294676285,1.0
305,35.473782758459144,76.89066794358894,5529.2446,3946053.3427801584,0.0
308,35.475041332218616,76.89051426103094,5636.5654,3946193.6795028644,0.0
309,35.475221161362875,76.89049272618934,5635.9214,3946213.727605477,0.0
310,35.47576063096804,76.8904278973622,5635.958,3946273.871912373,0.0
320,35.47881708595087,76.89005364739216,5874.2783,3946614.689624672,1.0
321,35.478996844716896,76.89003121553213,5884.9966,3946634.7377239773,0.0
322,35.479536370878336,76.8899671130979,5877.4478,3946694.8820209494,0.0
325,35.48007574581711,76.88990107061869,5896.689,3946755.026316503,0.0
328,35.48133525501463,76.88975931311325,5837.8516,3946895.363000615,1.0
329,35.48151528888419,76.88974038376398,5818.6343,3946915.411097715,0.0
330,35.48205514645938,76.88968049764236,5793.2256,3946975.5553880706,0.0
331,35.48223505042071,76.8896599104612,5789.9453,3946995.60348454,1.0
332,35.48241493814844,76.88963912433388,5782.673,3947015.6515808525,1.0
333,35.48259509153143,76.88962172456479,5741.661,3947035.699677007,1.0
334,35.48277513404769,76.88960290706694,5710.2007,3947055.747773004,1.0
335,35.482955108740455,76.88958322175205,5686.434,3947075.7958688443,1.0
336,35.483315033484935,76.88954354116083,5648.3677,3947115.8920600517,1.0
337,35.4834949812112,76.88952352821883,5631.913,3947135.9401554177,1.0
338,35.48367479896393,76.88950184901859,5636.9204,3947155.9882506276,1.0
339,35.48385504919127,76.88948568215676,5579.5664,3947176.036345679,1.0
340,35.48403503596436,76.88946615142629,5566.522,3947196.0844405736,1.0
341,35.48421467197841,76.88944216087236,5607.9863,3947216.1325353105,1.0
342,35.484575138682956,76.88940938808025,5514.8037,3947256.2287243116,1.0
343,35.48475508503618,76.88938934845874,5511.292,3947276.2768185753,1.0
344,35.484934984517054,76.88936870361653,5515.103,3947296.3249126812,0.0
345,35.485114787192444,76.88934683721243,5530.988,3947316.3730066307,1.0
346,35.485294806350296,76.88932772336796,5514.9795,3947336.421100422,1.0
347,35.48547483279174,76.88930870069612,5495.7607,3947356.469194056,1.0
348,35.48601455381954,76.88924707367335,5481.07,3947416.6134740114,0.0
349,35.48619438050368,76.88922551274237,5484.9004,3947436.661567015,0.0
350,35.48637418806389,76.88920370710048,5490.2773,3947456.7096598605,0.0
351,35.48655398448401,76.88918175666942,5496.0513,3947476.7577525494,0.0
352,35.48673377604593,76.88915974643413,5501.1455,3947496.80584508,0.0
353,35.4869135644158,76.8891376935124,5506.9326,3947516.8539374536,0.0
356,35.4878125511165,76.88902800289407,5541.0464,3947617.0943969563,1.0
361,35.490148819230946,76.88872886277545,5851.2104,3947877.7195732268,1.0
362,35.49032881349803,76.8887094177569,5839.337,3947897.7676626067,0.0
371,35.495363657222974,76.88810179426093,6044.418,3948459.1141012353,1.0
372,35.495543523900004,76.88808074292706,6038.995,3948479.1621860447,1.0
373,35.49608348941059,76.88802224647554,5964.5312,3948539.3064395245,1.0
376,35.49662362806966,76.8879659407578,5870.6255,3948599.450691586,1.0
377,35.496803492474235,76.88794486059544,5869.3228,3948619.498775291,1.0
378,35.49698346520081,76.88792515516752,5853.255,3948639.5468588388,1.0
379,35.497163439815566,76.88790547347327,5838.905,3948659.5949422284,1.0
383,35.49788431822424,76.88783924349644,5642.2305,3948739.7872742116,1.0
384,35.49806429986141,76.88781965914683,5630.924,3948759.8353568134,1.0
385,35.49824429240676,76.88780020758406,5617.906,3948779.8834392577,1.0
386,35.498604198327165,76.88776030704355,5598.3296,3948819.979603673,1.0
388,35.49914393746098,76.88769891442513,5568.445,3948880.123849114,1.0
389,35.499323884662594,76.88767889464651,5543.8057,3948900.171930611,1.0
390,35.49950364974073,76.88765654891557,5545.6743,3948920.2200119523,1.0
392,35.50040350668072,76.88755794983456,5427.765,3949020.46041629,1.0
394,35.50076365843943,76.88752117773208,5384.731,3949060.5565769216,1.0
395,35.500943713973044,76.88750253530333,5369.2373,3949080.6046570004,1.0
397,35.50166376003443,76.88742570124572,5321.288,3949160.796975742,0.0
398,35.50184369305698,76.88740550485898,5308.746,3949180.8450550335,0.0
399,35.50202360741761,76.88738505741395,5295.355,3949200.8931341674,0.0
401,35.5029226856784,76.88727654955414,5267.5737,3949301.133527468,0.0
402,35.50310248510632,76.88725464639214,5264.065,3949321.1816056552,0.0
